1	18 
2	2 
3	6 
4	15 
5	27 
6	10 
7	13 
8	16 
9	6 
10	6 
11	24 
12	24 
13	24 
14	10 
15	20 
16	24 
17	24 
18	24 
19	16 
20	6 
21	27 
22	24 
23	6 
24	11 
25	24 
26	29 
27	18 
28	11 
29	15 
30	11 
31	24 
32	18 
33	27 
34	12 
35	6 
36	27 
37	18 
38	15 
39	23 
40	29 
41	11 
42	23 
43	27 
44	2 
45	18 
46	10 
47	18 
48	11 
49	15 
50	7 
51	4 
52	18 
53	30 
54	27 
55	27 
56	17 
57	24 
58	18 
59	27 
60	23 
61	11 
62	18 
63	11 
64	18 
65	11 
66	27 
67	23 
68	6 
69	27 
70	27 
71	18 
72	6 
73	24 
74	6 
75	12 
76	16 
77	23 
78	15 
79	4 
80	11 
81	17 
82	17 
83	7 
84	10 
85	12 
86	16 
87	16 
88	15 
89	19 
90	6 
91	2 
92	26 
93	27 
94	29 
95	29 
96	29 
97	15 
98	15 
99	12 
100	25 
101	6 
102	12 
103	10 
104	16 
105	4 
106	17 
107	18 
108	11 
109	11 
110	28 
111	29 
112	23 
113	12 
114	24 
115	28 
116	10 
117	16 
118	17 
119	12 
120	29 
121	15 
122	23 
123	4 
124	16 
125	12 
126	29 
127	7 
128	23 
129	15 
130	23 
131	10 
132	17 
133	10 
134	16 
135	15 
136	6 
137	16 
138	28 
139	28 
140	26 
141	12 
142	23 
143	26 
144	10 
145	29 
146	12 
147	29 
148	11 
149	10 
150	17 
151	1 
152	32 
153	28 
154	13 
155	14 
156	20 
157	14 
158	28 
159	28 
160	32 
161	22 
162	22 
163	15 
164	10 
165	13 
166	32 
167	7 
168	2 
169	26 
170	29 
171	10 
172	4 
173	29 
174	14 
175	30 
176	20 
177	16 
178	30 
179	14 
180	32 
181	25 
182	29 
183	2 
184	4 
185	8 
186	22 
187	4 
188	17 
189	23 
190	17 
191	17 
192	15 
193	20 
194	17 
195	25 
196	28 
197	12 
198	4 
199	28 
200	28 
201	13 
202	3 
203	23 
204	12 
205	10 
206	5 
207	19 
208	4 
209	25 
210	32 
211	16 
212	16 
213	2 
214	30 
215	22 
216	25 
217	19 
218	23 
219	12 
220	20 
221	22 
222	17 
223	3 
224	25 
225	17 
226	2 
227	7 
228	13 
229	8 
230	9 
231	30 
232	20 
233	25 
234	20 
235	22 
236	9 
237	32 
238	21 
239	26 
240	2 
241	7 
242	3 
243	30 
244	20 
245	14 
246	25 
247	2 
248	20 
249	5 
250	26 
251	7 
252	26 
253	8 
254	8 
255	2 
256	31 
257	28 
258	20 
259	14 
260	5 
261	32 
262	26 
263	20 
264	5 
265	25 
266	2 
267	32 
268	26 
269	22 
270	4 
271	28 
272	13 
273	2 
274	21 
275	28 
276	30 
277	13 
278	1 
279	1 
280	32 
281	25 
282	22 
283	22 
284	28 
285	3 
286	31 
287	8 
288	31 
289	7 
290	9 
291	1 
292	20 
293	25 
294	21 
295	26 
296	3 
297	14 
298	22 
299	21 
300	32 
301	31 
302	25 
303	13 
304	31 
305	32 
306	7 
307	7 
308	22 
309	22 
310	30 
311	1 
312	32 
313	9 
314	31 
315	2 
316	2 
317	25 
318	5 
319	1 
320	7 
321	9 
322	26 
323	21 
324	4 
325	9 
326	7 
327	2 
328	3 
329	19 
330	25 
331	22 
332	20 
333	20 
334	3 
335	1 
336	5 
337	25 
338	13 
339	5 
340	26 
341	21 
342	20 
343	3 
344	19 
345	7 
346	3 
347	5 
348	7 
349	26 
350	30 
351	26 
352	22 
353	14 
354	31 
355	19 
356	5 
357	32 
358	30 
359	31 
360	21 
361	26 
362	8 
363	31 
364	1 
365	13 
366	30 
367	30 
368	30 
369	13 
370	14 
371	9 
372	4 
373	22 
374	21 
375	30 
376	9 
377	9 
378	13 
379	26 
380	32 
381	30 
382	7 
383	14 
384	9 
385	21 
386	5 
387	5 
388	21 
389	14 
390	1 
391	19 
392	22 
393	1 
394	30 
395	7 
396	32 
397	1 
398	32 
399	1 
400	5 
401	31 
402	3 
403	13 
404	30 
405	4 
406	31 
407	19 
408	3 
409	13 
410	3 
411	9 
412	13 
413	13 
414	22 
415	14 
416	14 
417	4 
418	14 
419	8 
420	8 
421	9 
422	13 
423	4 
424	31 
425	3 
426	5 
427	31 
428	3 
429	31 
430	19 
431	3 
432	31 
433	14 
434	8 
435	5 
436	8 
437	19 
438	9 
439	21 
440	19 
441	8 
442	5 
443	21 
444	5 
445	9 
446	1 
447	19 
448	21 
449	8 
450	14 
451	19 
452	1 
453	4 
454	5 
455	8 
456	19 
457	4 
458	4 
459	3 
460	21 
461	14 
462	21 
463	1 
464	8 
465	8 
466	14 
467	21 
468	9 
469	9 
470	19 
471	19 
472	31 
473	31 
474	9 
475	4 
476	21 
477	21 
478	31 
479	19 
480	8 
481	8 
482	8 
483	5 
484	5 
485	19 
486	1 
487	1 
488	8 
489	19 
490	1 
491	21 
492	5 
493	3 
494	4 
495	3 
496	9 
497	9 
498	3 
499	31 
500	1 
